Position,Institution,Short name,Count,Share
5091,College of the Holy Cross,Holy Cross,2,0.36
5093,Clark University,Clark,3,0.36
5102,Touro College and University System,Touro,4,0.35
5122,Nova Southeastern University,Nova,21,0.35
5128,Sacred Heart University,Sacred,3,0.35
5168,University of Hawaii System,UH-2,3,0.34
5183,Loyola Marymount University,LMU,3,0.34
5216,Washington and Lee University,Washington,1,0.33
5216,University of Nebraska at Kearney,UNK,1,0.33
5216,University of Mount Union,University Mount,1,0.33
5222,Marshall University,Marshall,6,0.33
5247,Fort Lewis College,Fort,7,0.33
5284,University of San Diego,University San,2,0.32
5309,Gonzaga University,Gonzaga,2,0.32
5317,Texas Southern University,TSU,4,0.32
5351,University of Central Arkansas,UCA,2,0.31
5360,University Health System,University System,1,0.31
5383,Winona State University,Winona State,3,0.3
5407,Wentworth Institute of Technology,WIT,2,0.3
5414,University of Maryland Eastern Shore,UMES,4,0.3
5431,Edward Via College of Osteopathic Medicine,VCOM,2,0.3
5434,Southern Oregon University,SOU,2,0.3
5445,DePaul University,DePaul,5,0.29
5459,Morehead State University,Morehead State,2,0.29
5480,University of Southern Maine,USM-2,6,0.29
5484,Lamar University,LU,6,0.29
5498,Yeshiva University,YU,3,0.29
5548,The University of Tennessee at Chattanooga,UTC,2,0.28
5570,Ponce Health Sciences University,PHSU,3,0.27
5589,University of Wisconsin-Eau Claire,UW-Eau Claire,3,0.27
5610,Idaho State University,ISU,16,0.27
5611,University of Northern Iowa,UNI,1,0.27
5650,University of Louisiana at Monroe,ULM,14,0.26
5663,Cooper University Health Care,Cooper,6,0.26
5668,Mercer University,Mercer,7,0.26
5685,Westmont College,Westmont,37,0.26
5715,Manhattan College,MC,4,0.25
5726,Inter American University of Puerto Rico,UIPR,1,0.25
5726,University of Bridgeport,University Bridgeport,1,0.25
5726,Centre College,Centre,1,0.25
5726,State University of New York at Fredonia,SUNY Fredonia,1,0.25
5726,Westminster College,Westminster,1,0.25
5726,Angelo State University,Angelo State,1,0.25
5726,State University of New York,SUNY,1,0.25
5726,Hobart and William Smith Colleges,Hobart,1,0.25
5726,University of Wisconsin-Platteville,UW-Platteville,1,0.25
5726,Palmer College of Chiropractic,Palmer,1,0.25
5782,Southeastern Louisiana University,SLU,2,0.24
5791,Dominican University of California,Dominican,4,0.24
5802,Arkansas Tech University,Arkansas Tech,3,0.24
5833,Spelman College,Spelman,2,0.23
5871,Elon University,Elon,2,0.23
5888,Marshall B. Ketchum University,MBKU,3,0.23
5901,University of Wisconsin-Whitewater,University Wisconsin,2,0.23
5906,Western New England University,WNE,2,0.22
5921,Knox College,Knox,1,0.22
5921,West Texas A and M University,WTAMU,1,0.22
5942,Eastern Michigan University,EMU,2,0.22
5981,Alabama State University,Alabama State,7,0.21
5982,University of Minnesota Medical Center,University Minnesota,3,0.21
5984,Lipscomb University,Lipscomb,2,0.21
5995,University of the Virgin Islands,UVI,13,0.21
6006,Philadelphia College of Osteopathic Medicine,PCOM,2,0.21
6032,Bethel University,Bethel,35,0.21
6073,Pacific University Oregon,Pacific,2,0.2
6083,A.T. Still University of Health Sciences,ATSU,2,0.2
6087,State University of New York at Geneseo,SUNY Geneseo,1,0.2
6087,Alabama College of Osteopathic Medicine,Alabama,1,0.2
6087,Washburn University,Washburn,1,0.2
6087,Rocky Vista University,RVU,1,0.2
6087,Pasadena City College,PCC,1,0.2
6087,Young Harris College,YHC,1,0.2
6087,Bridgewater College,Bridgewater,1,0.2
6087,Grinnell College,Grinnell,1,0.2
6087,Ross University School of Medicine,RUSM,1,0.2
6139,Chicago State University,Chicago State,20,0.19
6178,William Paterson University,WPUNJ,2,0.19
6219,Mount St. Mary's University,MSMU,2,0.18
6226,Elizabeth City State University,ECSU,1,0.18
6226,College of the Atlantic,COA,1,0.18
6230,Pepperdine University,Pepperdine,3,0.18
6240,Christopher Newport University,CNU,15,0.18
6259,Southern University and A&M College,SUBR,4,0.18
6268,Skidmore College,Skidmore,2,0.18
6275,Norfolk State University,NSU,20,0.18
6276,University of Arkansas at Pine Bluff,UAPB,2,0.18
6291,University of Maryland University College,UMUC,2,0.18
6313,Idaho College of Osteopathic Medicine,ICOM,2,0.17
6315,Ball State University,BSU,5,0.17
6327,California Lutheran University,CLU,2,0.17
6330,Hendrix College,Hendrix,2,0.17
6337,College of Menominee Nation,CMN,3,0.17
6340,Springfield College,Springfield,2,0.17
6364,St. Edward’s University,SEU,2,0.17
6375,Western Carolina University,Catamount,1,0.17
6375,University of Mary Washington,UMW,1,0.17
6375,Caldwell University,Caldwell,1,0.17
6375,Muskingum University,Muskingum,1,0.17
6375,Maryville College,Maryville College,1,0.17
6375,Florida Polytechnic University,FPU,1,0.17
6375,State University of New York at Purchase,SUNY Purchase,1,0.17
