University Name,"City, State",Rank,Tuition and Fees,Undergrad enrollment
West Virginia University,"Morgantown, WV",222,N/A(out-of-state) / N/A(in-state),"18,206"
Bethel University (MN),"St. Paul, MN",232,"$26,240.00","2,556"
Florida Institute of Technology,"Melbourne, FL",232,"$47,280.00","3,677"
Kent State University,"Kent, OH",232,"$23,872(out-of-state) / $13,628(in-state)","20,841"
North Carolina Agricultural and Technical State University,"Greensboro, NC",232,"$20,243(out-of-state) / $6,733(in-state)","12,497"
North Dakota State University,"Fargo, ND",232,N/A(out-of-state) / N/A(in-state),"9,762"
Pacific University,"Forest Grove, OR",232,"$58,348.00","1,589"
University of Colorado Denver,"Denver, CO",232,"$37,433(out-of-state) / $13,253(in-state)","13,921"
University of Missouri--Kansas City,"Kansas City, MO",232,"$33,883(out-of-state) / $14,038(in-state)","10,166"
University of Nevada--Las Vegas,"Las Vegas, NV",232,"$27,411(out-of-state) / $9,748(in-state)","27,135"
Winston-Salem State University,"Winston-Salem, NC",232,"$17,391(out-of-state) / $6,735(in-state)","4,260"
Andrews University,"Berrien Springs, MI",242,"$33,710.00","1,312"
Biola University,"La Mirada, CA",242,"$50,904.00","3,481"
D'Youville University,"Buffalo, NY",242,"$35,940.00","1,258"
Grand Valley State University,"Allendale, MI",242,"$22,588(out-of-state) / $15,872(in-state)","19,002"
Northern Arizona University,"Flagstaff, AZ",242,"$30,912(out-of-state) / $13,440(in-state)","22,991"
Sacred Heart University,"Fairfield, CT",242,"$52,410.00","7,204"
Seattle Pacific University,"Seattle, WA",242,"$44,367.00","1,776"
Union University,"Jackson, TN",242,"$41,470.00","1,934"
University of Alabama at Huntsville,"Huntsville, AL",242,"$26,408(out-of-state) / $12,132(in-state)","6,800"
University of Massachusetts Dartmouth,"North Dartmouth, MA",242,"$33,782(out-of-state) / $16,233(in-state)","5,731"
University of Missouri--St. Louis,"Saint Louis, MO",242,"$37,590(out-of-state) / $15,120(in-state)","12,332"
University of New Mexico,"Albuquerque, NM",242,"$34,603(out-of-state) / $11,455(in-state)","17,771"
University of North Dakota,"Grand Forks, ND",242,"$16,541(out-of-state) / $11,645(in-state)","11,033"
Utah State University,"Logan, UT",242,N/A(out-of-state) / N/A(in-state),"25,702"
West Chester University of Pennsylvania,"West Chester, PA",242,"$23,456(out-of-state) / $11,464(in-state)","14,449"
California State University--East Bay,"Hayward, CA",257,"$18,935(out-of-state) / $7,055(in-state)","10,562"
Gannon University,"Erie, PA",257,"$41,426.00","2,768"
La Salle University,"Philadelphia, PA",257,"$40,000.00","2,077"
Marian University (IN),"Indianapolis, IN",257,"$40,664.00","2,608"
Middle Tennessee State University,"Murfreesboro, TN",257,"$36,188(out-of-state) / $13,328(in-state)","18,042"
Nova Southeastern University,"Fort Lauderdale, FL",257,"$40,200.00","7,311"
Oakland City University,"Oakland City, IN",257,"$27,900.00",502
Sam Houston State University,"Huntsville, TX",257,"$23,520(out-of-state) / $11,370(in-state)","17,787"
South Dakota State University,"Brookings, SD",257,"$13,166(out-of-state) / $9,554(in-state)","10,728"
Springfield College,"SPRINGFIELD, MA",257,"$46,700.00","1,763"
Suffolk University,"Boston, MA",257,"$49,556.00","4,326"
Tennessee Tech University,"Cookeville, TN",257,"$16,126(out-of-state) / $11,926(in-state)","9,187"
Texas State University,"San Marcos, TX",257,"$24,540(out-of-state) / $12,240(in-state)","36,236"
University of Maine,"Orono, ME",257,"$37,836(out-of-state) / $13,686(in-state)","9,601"
University of Texas--El Paso,"El Paso, TX",257,"$21,164(out-of-state) / $8,508(in-state)","21,118"
Western Carolina University,"Cullowhee, NC",257,"$8,685(out-of-state) / $4,685(in-state)","10,107"
Augusta University,"Augusta, GA",273,"$25,202(out-of-state) / $8,414(in-state)","6,078"
